token,reference_count,definition_count,layer,notes
--panel-border-color,62,60,component,generated-2026-03-20
--panel-back,48,60,component,generated-2026-03-20
--spot-back,45,57,legacy,generated-2026-03-20
--border-size,39,60,legacy,generated-2026-03-20
--pad-sm,38,1,legacy,generated-2026-03-20
--panel-fore,35,60,component,generated-2026-03-20
--border-radius,33,60,legacy,generated-2026-03-20
--chrome-fore,27,59,legacy,generated-2026-03-20
--color-text,25,3,semantic,generated-2026-03-20
--font-sm,25,1,legacy,generated-2026-03-20
--short-transition,25,1,legacy,generated-2026-03-20
--mar-sm,21,1,legacy,generated-2026-03-20
--pad-xs,21,1,legacy,generated-2026-03-20
--gap-md,20,1,legacy,generated-2026-03-20
--font-md,19,1,legacy,generated-2026-03-20
--pad-md,18,1,legacy,generated-2026-03-20
--body-fore,17,59,legacy,generated-2026-03-20
--mar-md,17,1,legacy,generated-2026-03-20
--color-primary,16,3,semantic,generated-2026-03-20
--panel-head-fore,16,60,component,generated-2026-03-20
--chrome-back,15,60,legacy,generated-2026-03-20
--gap-sm,15,1,legacy,generated-2026-03-20
--btn-border-colors-active,14,60,legacy,generated-2026-03-20
--nav-inline-size,13,1,legacy,generated-2026-03-20
--color-surface-strong,11,3,semantic,generated-2026-03-20
--nav-edge-size,11,1,legacy,generated-2026-03-20
--mar-xs,10,1,legacy,generated-2026-03-20
--panel-head-back,10,60,component,generated-2026-03-20
--body-back,9,60,legacy,generated-2026-03-20
--calendar-day-bg,9,3,component,generated-2026-03-20
--color-border,9,3,semantic,generated-2026-03-20
--nav-block-size,9,1,legacy,generated-2026-03-20
--btn-back,8,60,legacy,generated-2026-03-20
--btn-primary-back,8,60,legacy,generated-2026-03-20
--btn-selected-back,8,60,legacy,generated-2026-03-20
--btn-selected-fore,8,60,legacy,generated-2026-03-20
--button-bg,8,4,component,generated-2026-03-20
--color-bg,8,3,semantic,generated-2026-03-20
--color-text-muted,8,3,semantic,generated-2026-03-20
--font-lg,8,1,legacy,generated-2026-03-20
--header-fore,8,60,legacy,generated-2026-03-20
--spot-fore,8,61,legacy,generated-2026-03-20
--uv-text-1,8,1,legacy,generated-2026-03-20
--warning,8,60,legacy,generated-2026-03-20
--btn-fore,7,60,legacy,generated-2026-03-20
--button-secondary-bg,7,4,component,generated-2026-03-20
--button-secondary-text,7,4,component,generated-2026-03-20
--color-surface,7,3,semantic,generated-2026-03-20
--fore-dark,7,0,legacy,generated-2026-03-20
--gap-lg,7,1,legacy,generated-2026-03-20
--sans-serif,7,1,legacy,generated-2026-03-20
--text-color,7,22,legacy,generated-2026-03-20
--btn-primary-fore,6,60,legacy,generated-2026-03-20
--font-xs,6,1,legacy,generated-2026-03-20
--header-back,6,59,legacy,generated-2026-03-20
--mar-lg,6,1,legacy,generated-2026-03-20
--monospace,6,1,legacy,generated-2026-03-20
--text-muted,6,22,legacy,generated-2026-03-20
--uv-line,6,1,legacy,generated-2026-03-20
--border-bottom,5,2,legacy,generated-2026-03-20
--border-inset-color,5,54,legacy,generated-2026-03-20
--button-border,5,4,component,generated-2026-03-20
--color-danger,5,3,semantic,generated-2026-03-20
--footer-fore,5,60,legacy,generated-2026-03-20
--foundation-ink-100,5,2,legacy,generated-2026-03-20
--text-0,5,1,legacy,generated-2026-03-20
--uv-text-0,5,1,legacy,generated-2026-03-20
--back-light,4,0,legacy,generated-2026-03-20
--btn-border-colors,4,60,legacy,generated-2026-03-20
--button-border-active,4,4,component,generated-2026-03-20
--color-primary-soft,4,3,semantic,generated-2026-03-20
--context-menu-back,4,60,legacy,generated-2026-03-20
--context-menu-fore,4,60,legacy,generated-2026-03-20
--font-weight,4,3,legacy,generated-2026-03-20
--line-height,4,1,legacy,generated-2026-03-20
--mar,4,1,legacy,generated-2026-03-20
--pad-lg,4,1,legacy,generated-2026-03-20
--pad,4,1,legacy,generated-2026-03-20
--text-1,4,1,legacy,generated-2026-03-20
--uv-brand,4,1,legacy,generated-2026-03-20
--border-color,3,0,legacy,generated-2026-03-20
--btn-border,3,0,legacy,generated-2026-03-20
--button-primary-bg,3,4,component,generated-2026-03-20
--button-primary-text,3,4,component,generated-2026-03-20
--button-text,3,4,component,generated-2026-03-20
--color-border-soft,3,3,semantic,generated-2026-03-20
--color-on-primary,3,3,semantic,generated-2026-03-20
--color-primary-hover,3,3,semantic,generated-2026-03-20
--foundation-ink-000,3,1,legacy,generated-2026-03-20
--foundation-paper-100,3,1,legacy,generated-2026-03-20
--line,3,1,legacy,generated-2026-03-20
--overlay-backdrop,3,3,semantic,generated-2026-03-20
--panel-border,3,3,component,generated-2026-03-20
--primary,3,0,legacy,generated-2026-03-20
--profile-menu-width,3,1,legacy,generated-2026-03-20
--shadow-md,3,3,semantic,generated-2026-03-20
--uv-danger,3,1,legacy,generated-2026-03-20
--uv-surface-2,3,1,legacy,generated-2026-03-20
--bg-highlight,2,0,legacy,generated-2026-03-20
--blur-size,2,1,legacy,generated-2026-03-20
--border-scaling-factor,2,2,legacy,generated-2026-03-20
--btn-hover-back,2,0,legacy,generated-2026-03-20
--button-bg-active,2,4,component,generated-2026-03-20
--button-danger-text,2,4,component,generated-2026-03-20
--cal-day-border,2,60,legacy,generated-2026-03-20
--calendar-border,2,3,component,generated-2026-03-20
--calendar-day-hover,2,3,component,generated-2026-03-20
--datagrid,2,0,legacy,generated-2026-03-20
--dialog-back,2,60,component,generated-2026-03-20
--dialog-bg,2,3,component,generated-2026-03-20
--dialog-fore,2,60,component,generated-2026-03-20
--dialog-text,2,3,component,generated-2026-03-20
--font-xl,2,1,legacy,generated-2026-03-20
--fore,2,0,legacy,generated-2026-03-20
--foundation-accent-100,2,2,legacy,generated-2026-03-20
--foundation-accent-200,2,2,legacy,generated-2026-03-20
--foundation-danger-100,2,2,legacy,generated-2026-03-20
--foundation-ink-200,2,2,legacy,generated-2026-03-20
--foundation-paper-000,2,1,legacy,generated-2026-03-20
--foundation-paper-200,2,1,legacy,generated-2026-03-20
--grid-template-columns,2,1,legacy,generated-2026-03-20
--heading-accent-color,2,6,legacy,generated-2026-03-20
--modal-head-fore,2,1,legacy,generated-2026-03-20
--nav-icon-size,2,2,legacy,generated-2026-03-20
--nav-menu-back,2,13,legacy,generated-2026-03-20
--nav-menu-fore,2,13,legacy,generated-2026-03-20
--panel-bg,2,3,component,generated-2026-03-20
--panel-head-bg,2,3,component,generated-2026-03-20
--panel-head-text,2,3,component,generated-2026-03-20
--panel-text,2,3,component,generated-2026-03-20
--spacing,2,4,legacy,generated-2026-03-20
--surface-2,2,1,legacy,generated-2026-03-20
--uv-success,2,1,legacy,generated-2026-03-20
--uv-surface,2,1,legacy,generated-2026-03-20
--uv-text-2,2,1,legacy,generated-2026-03-20
--zero-transition,2,1,legacy,generated-2026-03-20
--accent-primary,1,0,legacy,generated-2026-03-20
--bg-0,1,1,legacy,generated-2026-03-20
--bg-1,1,1,legacy,generated-2026-03-20
--bg-2,1,1,legacy,generated-2026-03-20
--bg-muted,1,0,legacy,generated-2026-03-20
--brand-ink,1,1,legacy,generated-2026-03-20
--brand,1,1,legacy,generated-2026-03-20
--btn-secondary-back,1,60,legacy,generated-2026-03-20
--btn-secondary-fore,1,60,legacy,generated-2026-03-20
--button-bg-hover,1,4,component,generated-2026-03-20
--cal-day-back,1,58,legacy,generated-2026-03-20
--cal-day-fore,1,58,legacy,generated-2026-03-20
--cal-day-hover-back,1,58,legacy,generated-2026-03-20
--cal-day-hover-fore,1,58,legacy,generated-2026-03-20
--cal-day-hover-glow,1,60,legacy,generated-2026-03-20
--cal-day-margin,1,2,legacy,generated-2026-03-20
